Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Statut,Zone de texte 1,Commentaires
1,Document,,,,,,,,,Brouillon,Decompression,
2,Page,,,,,,,,,,Page 1,
3,Processus,Formes de logigramme/conteneurs,2,,,,,,,,,
4,Processus,Formes de logigramme/conteneurs,2,,,,,,,,Fichier.fastq.bz2,
5,Processus,Formes de logigramme/conteneurs,2,,,,,,,,Fichier.fastq,
6,Processus,Formes de logigramme/conteneurs,2,,,,,,,,FichierBis.fastq.bz2,
7,Processus,Formes de logigramme/conteneurs,2,,,,,,,,Fichier.gz,
8,Décision,Formes de logigramme/conteneurs,2,,,,,,,,Identique ? (diff),
9,Note accolade,Formes de logigramme/conteneurs,2,,,,,,,,De-compression (bunzip2 -kcd),
10,Terminateur,Formes de logigramme/conteneurs,2,,,,,,,,Continuer,
11,Terminateur,Formes de logigramme/conteneurs,2,,,,,,,,Erreur,
12,Note accolade,Formes de logigramme/conteneurs,2,,,,,,,,,
13,Texte,Standard,2,,,,,,,,Re-compression (bunzip -c),
14,Processus,Formes de logigramme/conteneurs,2,,,,,,,,FichierBis.fastq,
15,Note accolade,Formes de logigramme/conteneurs,2,,,,,,,,Re-compression (gzip -c),
16,Note accolade,Formes de logigramme/conteneurs,2,,,,,,,,,
17,Texte,Standard,2,,,,,,,,De-compression (zcat),
18,Décision,Formes de logigramme/conteneurs,2,,,,,,,,Identique ? (diff),
19,Terminateur,Formes de logigramme/conteneurs,2,,,,,,,,Continuer,
20,Terminateur,Formes de logigramme/conteneurs,2,,,,,,,,Erreur,
21,Processus,Formes de logigramme/conteneurs,2,,,,,,,,Version 1 et version 2 du script,
22,Processus,Formes de logigramme/conteneurs,2,,,,,,,,Version 2 du script,
23,Texte,Standard,2,,,,,,,,Legende,
24,Ligne,,2,,,4,5,None,Arrow,,,
25,Ligne,,2,,,5,6,None,Arrow,,,
26,Ligne,,2,,,5,7,None,Arrow,,,
27,Ligne,,2,,,6,8,None,Arrow,,,
28,Ligne,,2,,,4,8,None,Arrow,,,
29,Ligne,,2,,,8,10,None,Arrow,,Oui,
30,Ligne,,2,,,8,11,None,Arrow,,Non,
31,Ligne,,2,,,7,14,None,Arrow,,,
32,Ligne,,2,,,5,18,None,Arrow,,,
33,Ligne,,2,,,14,18,None,Arrow,,,
34,Ligne,,2,,,18,19,None,Arrow,,Oui,
35,Ligne,,2,,,18,20,None,Arrow,,Non,
